선택 직무,질문 구성,번호,질문,모범 답변
해외 영업,직무관련2,19,영업 트렌드를 파악하기 위해 평소에 어떤 노력을 하시나요?,
해외 영업,직무관련2,20,장기 계약을 체결하기 위한 협상 전략은 어떻게 세우시겠어요?,
해외 영업,갈등/문제해결 경험,1,고객과 가격 협상이 결렬될 위기 상황에서 어떻게 해결하셨나요?,
해외 영업,갈등/문제해결 경험,2,납기 지연으로 고객이 크레임을 제기했을 때 어떻게 대응하셨나요?,
해외 영업,갈등/문제해결 경험,3,생산 부서와 납기 일정을 놓고 갈등이 생긴 경험이 있나요?,
해외 영업,갈등/문제해결 경험,4,급하게 주문이 들어왔는데 재고가 부족할 때 어떻게 대처하셨나요?,
해외 영업,갈등/문제해결 경험,5,경쟁사가 더 낮은 가격을 제시해서 고객을 잃을 위기 상황에서 어떻게 하셨나요?,
해외 영업,갈등/문제해결 경험,6,제품 품질 문제로 고객의 신뢰를 잃었을 때 어떻게 회복하셨나요?,
해외 영업,갈등/문제해결 경험,7,부서 간 협업이 잘 안 돼서 영업 기회를 놓칠 뻔한 경험이 있나요?,
해외 영업,갈등/문제해결 경험,8,해외 파트너사와 커뮤니케이션 문제가 생긴 경험을 말씀해 주세요.,
해외 영업,갈등/문제해결 경험,9,문화적 차이로 오해가 생겨서 거래가 어려웠던 경험이 있나요?,
해외 영업,갈등/문제해결 경험,10,영업 전략을 놓고 팀 내에서 의견이 엇갈렸을 때 어떻게 합의점을 찾으셨나요?,
해외 영업,갈등/문제해결 경험,11,한정된 마케팅 예산으로 여러 시장을 공략해야 했던 상황에서 어떻게 우선순위를 정하셨나요?,
해외 영업,갈등/문제해결 경험,12,영업 목표 미달 상황에서 빠르게 만회해야 했던 경험이 있나요?,
해외 영업,갈등/문제해결 경험,13,여러 고객사의 요구사항이 충돌할 때 어떻게 조율하셨나요?,
해외 영업,갈등/문제해결 경험,14,환율 급등으로 마진이 줄어드는 상황에서 어떻게 대응하셨나요?,
해외 영업,갈등/문제해결 경험,15,주요 고객사가 경쟁사로 이탈하려는 상황을 어떻게 막으셨나요?,
해외 영업,갈등/문제해결 경험,16,바이어의 무리한 요구를 어떻게 거절하면서도 관계를 유지하셨나요?,
해외 영업,갈등/문제해결 경험,17,긴급 주문 처리로 여러 부서와 조율해야 했던 경험이 있나요?,
해외 영업,갈등/문제해결 경험,18,신규 시장 진출 시 예상치 못한 규제를 만났을 때 어떻게 돌파하셨나요?,
해외 영업,갈등/문제해결 경험,19,대금 회수가 안 되는 상황에서 법적 조치와 관계 유지 사이에서 어떻게 판단하셨나요?,
해외 영업,갈등/문제해결 경험,20,타 부서의 비협조로 영업 기회를 놓칠 뻔한 상황을 어떻게 해결하셨나요?,
해외 영업,실패/극복 경험,1,큰 계약을 놓쳐서 실패한 경험이 있나요? 그 이유는 뭐였나요?,
해외 영업,실패/극복 경험,2,영업 목표를 달성하지 못한 경험에서 무엇을 배우셨나요?,
해외 영업,실패/극복 경험,3,바이어의 니즈를 잘못 파악해서 제안이 거절된 경험이 있나요?,
해외 영업,실패/극복 경험,4,가격 협상에서 너무 양보해서 마진이 거의 안 남은 경험이 있나요?,
해외 영업,실패/극복 경험,5,시장 조사가 부족해서 잘못된 영업 전략을 세운 적이 있나요?,
해외 영업,실패/극복 경험,6,주요 고객사를 경쟁사에 빼앗긴 경험을 말씀해 주실 수 있나요?,
해외 영업,실패/극복 경험,7,제품 지식 부족으로 바이어의 질문에 제대로 답하지 못한 경험이 있나요?,
해외 영업,실패/극복 경험,8,납기 약속을 지키지 못해서 신뢰를 잃은 경험이 있나요?,
해외 영업,실패/극복 경험,9,문화적 차이를 이해하지 못해서 실수한 경험을 말씀해 주세요.,
해외 영업,실패/극복 경험,10,경쟁사 분석이 부족해서 영업 기회를 놓친 경험이 있나요?,
해외 영업,실패/극복 경험,11,시간 관리 실패로 중요한 바이어 미팅을 놓친 경험이 있나요?,
해외 영업,실패/극복 경험,12,계약서 검토를 소홀히 해서 나중에 문제가 된 적이 있나요?,
해외 영업,실패/극복 경험,13,신규 시장 진출이 실패한 경험에서 무엇을 배우셨나요?,
해외 영업,실패/극복 경험,14,과도한 재고를 떠안게 된 경험이 있나요? 어떻게 해결하셨나요?,
해외 영업,실패/극복 경험,15,커뮤니케이션 실수로 오더가 잘못 처리된 경험이 있나요?,
해외 영업,실패/극복 경험,16,대금 회수 실패로 손실을 본 경험에서 얻은 교훈은 뭔가요?,
해외 영업,실패/극복 경험,17,프레젠테이션 준비 부족으로 바이어를 설득하지 못한 경험이 있나요?,
해외 영업,실패/극복 경험,18,환율 리스크 관리를 소홀히 해서 손해를 본 경험이 있나요?,
해외 영업,실패/극복 경험,19,여러 거래처를 동시에 관리하다가 하나를 놓친 경험이 있나요?,
해외 영업,실패/극복 경험,20,지금까지의 실패 경험 중에서 가장 값진 교훈은 뭐였나요?,
해외 영업,목표,1,해외 영업 전문가로서 5년 후 어떤 모습이 되고 싶으신가요?,
해외 영업,목표,2,우리 회사에서 해외 영업 담당자로 이루고 싶은 구체적인 목표가 있나요?,
해외 영업,목표,3,입사 후 첫 1년 동안 달성하고 싶은 영업 목표는 뭔가요?,
해외 영업,목표,4,영업 전문성을 키우기 위한 학습 계획이 있으신가요?,
해외 영업,목표,5,무역이나 영업 관련 자격증 취득 계획이 있으신가요?,
해외 영업,목표,6,10년 후에는 어떤 역할을 맡고 있을 것 같으신가요?,
해외 영업,목표,7,특정 지역이나 국가의 영업 전문가가 되고 싶으신가요?,
해외 영업,목표,8,영업 매출을 어느 정도 수준까지 끌어올리고 싶으신가요?,
해외 영업,목표,9,본인만의 영업 노하우나 네트워크를 구축하고 싶으신가요?,
해외 영업,목표,10,영업팀장이나 해외사업본부장으로 성장하고 싶으신가요?,
해외 영업,목표,11,신규 시장 개척을 주도하는 리더가 되기 위해 어떤 준비를 하고 계신가요?,
해외 영업,목표,12,영업 분야에서 본인의 경쟁력은 뭐라고 생각하시나요?,
해외 영업,목표,13,입사 후 가장 먼저 성사시키고 싶은 계약은 어떤 건가요?,
해외 영업,목표,14,특정 산업이나 품목의 영업 전문가로 성장하고 싶으신가요?,
해외 영업,목표,15,해외 주재원으로 근무하는 것이 목표인가요?,
해외 영업,목표,16,우리 회사와 함께 장기적으로 성장할 계획이 있으신가요?,
해외 영업,목표,17,업계에서 인정받는 영업 전문가가 되고 싶으신가요?,
해외 영업,목표,18,글로벌 네트워크를 구축하는 것이 목표인가요?,
해외 영업,목표,19,이 회사에서 본인의 커리어 최종 목표는 무엇인가요?,
해외 영업,목표,20,해외 영업 직무를 통해 개인적으로 얻고 싶은 것은 무엇인가요?,
